seed,value,params,trial_number,batch_size,n_steps,gamma,lr,ent_coef,cliprange,noptepochs,lamdba,max_grad_norm,vf_coef,cliprange_vf
0,18.0,"{'gamma': 0.98, 'lr': 0.0012313369320637653, 'tau': 0.0017854215692923465, 'batch_size': 128, 'buffer_size': 1000000, 'learning_starts': 1123, 'train_freq': 428, 'gradient_steps': 10, 'ent_coef': 0.01, 'net_arch': 'small'}",0,128,,0.98,0.0012313369320637653,0.01,,,,,,
0,20.0,"{'gamma': 0.99, 'lr': 0.3920396546779894, 'tau': 0.03641309669445939, 'batch_size': 32, 'buffer_size': 1000000, 'learning_starts': 5590, 'train_freq': 623, 'gradient_steps': 100, 'ent_coef': 0.05, 'net_arch': 'small'}",1,32,,0.99,0.3920396546779894,0.05,,,,,,
0,6.0,"{'gamma': 0.99, 'lr': 0.0001059028298798439, 'tau': 0.05520870532754203, 'batch_size': 512, 'buffer_size': 10000, 'learning_starts': 9593, 'train_freq': 441, 'gradient_steps': 1, 'ent_coef': 1.0, 'net_arch': 'small'}",2,512,,0.99,0.0001059028298798439,1.0,,,,,,
0,12.0,"{'gamma': 0.9, 'lr': 0.006377922932809132, 'tau': 0.005166702158026632, 'batch_size': 512, 'buffer_size': 100000, 'learning_starts': 5394, 'train_freq': 610, 'gradient_steps': 1, 'ent_coef': 0.05, 'net_arch': 'big'}",3,512,,0.9,0.006377922932809132,0.05,,,,,,
0,-14.0,"{'gamma': 0.9999, 'lr': 0.0002846789595628602, 'tau': 0.001037599737265148, 'batch_size': 32, 'buffer_size': 1000000, 'learning_starts': 1834, 'train_freq': 848, 'gradient_steps': 100, 'ent_coef': 0.5, 'net_arch': 'big'}",4,32,,0.9999,0.0002846789595628602,0.5,,,,,,
0,-6.0,"{'gamma': 0.98, 'lr': 0.00035783029702996763, 'tau': 0.29408229165573896, 'batch_size': 32, 'buffer_size': 1000000, 'learning_starts': 478, 'train_freq': 321, 'gradient_steps': 300, 'ent_coef': 0.1, 'net_arch': 'big'}",5,32,,0.98,0.00035783029702996763,0.1,,,,,,
0,-18.0,"{'gamma': 0.995, 'lr': 0.027286139473823568, 'tau': 0.04413690047656089, 'batch_size': 32, 'buffer_size': 1000000, 'learning_starts': 8891, 'train_freq': 990, 'gradient_steps': 1, 'ent_coef': 1.0, 'net_arch': 'medium'}",6,32,,0.995,0.027286139473823568,1.0,,,,,,
0,-18.0,"{'gamma': 0.999, 'lr': 0.0010296302025558683, 'tau': 0.14457018671287902, 'batch_size': 128, 'buffer_size': 1000000, 'learning_starts': 5829, 'train_freq': 829, 'gradient_steps': 10, 'ent_coef': 0.001, 'net_arch': 'small'}",7,128,,0.999,0.0010296302025558683,0.001,,,,,,
0,28.0,"{'gamma': 0.99, 'lr': 0.0007066078614827478, 'tau': 0.9701910367861053, 'batch_size': 32, 'buffer_size': 1000000, 'learning_starts': 5963, 'train_freq': 845, 'gradient_steps': 300, 'ent_coef': 0.05, 'net_arch': 'small'}",8,32,,0.99,0.0007066078614827478,0.05,,,,,,
0,16.0,"{'gamma': 0.95, 'lr': 0.045622740752189854, 'tau': 0.0014795465770434991, 'batch_size': 128, 'buffer_size': 1000000, 'learning_starts': 7503, 'train_freq': 182, 'gradient_steps': 100, 'ent_coef': 0.05, 'net_arch': 'big'}",9,128,,0.95,0.045622740752189854,0.05,,,,,,
0,42.0,"{'gamma': 0.9999, 'lr': 0.004620757613201598, 'tau': 0.011783436566729843, 'batch_size': 256, 'buffer_size': 1000000, 'learning_starts': 5181, 'train_freq': 442, 'gradient_steps': 100, 'ent_coef': 'auto', 'net_arch': 'medium', 'target_entropy': -1}",10,256,,0.9999,0.004620757613201598,auto,,,,,,
0,20.0,"{'gamma': 0.9999, 'lr': 0.8582426619729036, 'tau': 0.39054339165083696, 'batch_size': 256, 'buffer_size': 1000000, 'learning_starts': 211, 'train_freq': 879, 'gradient_steps': 100, 'ent_coef': 1.0, 'net_arch': 'big'}",11,256,,0.9999,0.8582426619729036,1.0,,,,,,
0,-6.0,"{'gamma': 0.99, 'lr': 1.7945526061511615e-05, 'tau': 0.003958798536931695, 'batch_size': 16, 'buffer_size': 10000, 'learning_starts': 7913, 'train_freq': 81, 'gradient_steps': 300, 'ent_coef': 0.001, 'net_arch': 'medium'}",12,16,,0.99,1.7945526061511615e-05,0.001,,,,,,
0,26.0,"{'gamma': 0.995, 'lr': 0.13118539970685122, 'tau': 0.0001097901705487014, 'batch_size': 16, 'buffer_size': 10000, 'learning_starts': 9474, 'train_freq': 143, 'gradient_steps': 1, 'ent_coef': 1.0, 'net_arch': 'medium'}",13,16,,0.995,0.13118539970685122,1.0,,,,,,
